Date,Zone_ID,Intake_Water_Liters,Treated_Water_Liters,Supplied_Water_Liters
2024-01-02,Z0002,118251,116170,112801
2024-01-02,Z0046,115316,110771,108655
2024-01-02,Z0034,95949,92111,88961
2024-01-02,Z0025,113944,111013,108001
2024-01-02,Z0100,91081,89448,86936
2024-01-02,Z0091,97805,95664,93105
2024-01-02,Z0006,110056,108569,101577
2024-01-02,Z0062,93343,91131,85061
2024-01-02,Z0092,119375,116905,114325
2024-01-02,Z0059,98130,93983,87734
2024-01-02,Z0110,91679,87173,80081
2024-01-02,Z0068,97253,93509,88153
2024-01-02,Z0101,99435,97343,92225
2024-01-02,Z0018,103296,100155,92286
2024-01-02,Z0070,103245,99186,92638
2024-01-02,Z0065,119899,115940,111675
2024-01-02,Z0058,125247,121859,115213
2024-01-02,Z0067,116211,113899,110142
2024-01-02,Z0048,127220,124150,116269
2024-01-02,Z0031,113049,110268,105419
2024-01-02,Z0086,113289,108559,104070
2024-01-02,Z0052,99823,96007,92992
2024-01-02,Z0030,99540,98025,92938
2024-01-02,Z0080,128646,125341,118749
2024-01-02,Z0084,115471,112264,106718
2024-01-02,Z0032,90851,88164,84233
2024-01-02,Z0078,96833,92087,87660
2024-01-02,Z0005,116144,114188,109450
2024-01-02,Z0007,118074,115438,108051
2024-01-02,Z0012,122320,119880,112593
2024-01-02,Z0021,93913,91847,85467
2024-01-02,Z0039,110491,107861,102488
2024-01-02,Z0054,102161,97837,93291
2024-01-02,Z0047,124850,121076,116180
2024-01-02,Z0016,118761,116986,113361
2024-01-02,Z0014,101261,99844,97730
2024-01-02,Z0004,110358,106091,103266
2024-01-02,Z0015,114052,111403,107887
2024-01-02,Z0106,101338,99926,97198
2024-01-02,Z0056,113548,109740,107065
2024-01-02,Z0102,128756,125252,120285
2024-01-02,Z0013,107506,104935,97862
2024-01-02,Z0010,95104,91961,88274
2024-01-02,Z0094,113190,108929,102797
2024-01-02,Z0044,126208,121442,113798
2024-01-02,Z0066,92914,91042,83125
2024-01-02,Z0097,104397,102802,94803
2024-01-02,Z0087,90728,88363,81871
2024-01-02,Z0071,90698,86608,78877
2024-01-02,Z0112,106779,103287,97116
2024-01-02,Z0038,94360,90858,87039
2024-01-02,Z0085,107101,103319,96373
2024-01-02,Z0035,95486,94343,87363
2024-01-02,Z0090,127259,123163,118225
2024-01-02,Z0063,111972,107417,101781
2024-01-02,Z0095,91167,87551,84489
2024-01-02,Z0027,108540,103776,96615
2024-01-02,Z0023,111689,107707,102413
2024-01-02,Z0022,127497,125341,118007
2024-01-02,Z0096,98924,97690,90844
2024-01-02,Z0036,96731,92651,89698
2024-01-02,Z0041,125307,121347,116023
2024-01-02,Z0081,91542,89345,81573
2024-01-02,Z0082,129081,126665,121672
2024-01-02,Z0079,113322,109641,106424
2024-01-02,Z0033,107924,104848,99612
2024-01-02,Z0020,116962,112243,104628
2024-01-02,Z0064,116432,114067,111568
2024-01-02,Z0099,116256,114746,108434
2024-01-02,Z0075,91324,89169,85342
2024-01-02,Z0042,125909,121586,116100
2024-01-02,Z0057,124578,121086,116163
2024-01-02,Z0055,128069,124855,118669
2024-01-02,Z0049,115289,112408,106806
2024-01-02,Z0072,118710,114513,108991
2024-01-03,Z0017,110652,109000,102151
2024-01-03,Z0050,99435,94726,91645
2024-01-03,Z0060,120355,116832,114377
2024-01-03,Z0076,103116,101222,97838
2024-01-03,Z0003,129298,126302,120017
2024-01-03,Z0109,90504,88290,84759
2024-01-03,Z0001,118016,113536,110713
2024-01-03,Z0011,107312,105379,98143
2024-01-03,Z0108,92105,87478,80698
2024-01-03,Z0043,112700,109848,102938
2024-01-03,Z0026,110559,106626,101342
2024-01-03,Z0093,101003,98751,90956
2024-01-03,Z0024,115826,113144,105493
2024-01-03,Z0019,96190,93934,88558
2024-01-03,Z0088,128413,126247,120761
2024-01-03,Z0077,93330,89627,87157
2024-01-03,Z0040,114504,110486,103355
2024-01-03,Z0107,124121,120338,115507
2024-01-03,Z0008,111447,110090,105071
2024-01-03,Z0009,113959,112292,105824
2024-01-03,Z0111,119703,117558,110091
2024-01-03,Z0103,126487,122742,120203
2024-01-03,Z0061,117355,115487,109351
2024-01-03,Z0028,94835,90060,82740
2024-01-03,Z0029,103216,100180,95672
2024-01-03,Z0037,125547,121748,118824
2024-01-03,Z0074,117532,114951,109627
2024-01-03,Z0051,95713,91783,89528
2024-01-03,Z0098,94804,91966,88022
2024-01-03,Z0073,90009,86138,83341
2024-01-03,Z0083,113793,109471,102499
2024-01-03,Z0053,127892,123702,120687
2024-01-03,Z0104,117712,114519,112296
2024-01-03,Z0045,113833,112771,105435
2024-01-03,Z0105,110309,106435,99651
2024-01-03,Z0089,110384,107751,103599
2024-01-03,Z0069,98702,97318,94914
2024-01-03,Z0002,119189,117714,113714
2024-01-03,Z0046,122606,119938,111949
2024-01-03,Z0034,105106,102646,97010
2024-01-03,Z0025,100916,99203,93025
2024-01-03,Z0100,103456,99300,91303
2024-01-03,Z0091,124816,123766,116986
2024-01-03,Z0006,107100,102257,94692
2024-01-03,Z0062,94544,92664,86081
2024-01-03,Z0092,116657,112238,108664
2024-01-03,Z0059,104489,103240,100567
2024-01-03,Z0110,118538,114161,107798
2024-01-03,Z0068,98427,97039,92002
2024-01-03,Z0101,114285,112523,108675
2024-01-03,Z0018,112928,111305,106491
2024-01-03,Z0070,109758,105792,100514
2024-01-03,Z0065,91252,87352,81371
2024-01-03,Z0058,127441,124319,117789
2024-01-03,Z0067,105781,101006,94147
2024-01-03,Z0048,129649,125796,122467
2024-01-03,Z0031,98017,94172,90814
2024-01-03,Z0086,113386,109904,103362
2024-01-03,Z0052,100209,97878,91534
2024-01-03,Z0030,121703,119345,112230
2024-01-03,Z0080,94637,92879,87702
2024-01-03,Z0084,127660,123713,121576
2024-01-03,Z0032,109856,107503,102671
2024-01-03,Z0078,109963,107088,102057
2024-01-03,Z0005,126932,123339,115770
2024-01-03,Z0007,94300,91127,85309
2024-01-03,Z0012,102015,99109,96349
2024-01-03,Z0021,114214,109960,104515
2024-01-03,Z0039,112415,107824,104925
2024-01-03,Z0054,108271,104005,101339
2024-01-03,Z0047,94188,92517,88548
2024-01-03,Z0016,118732,115051,109929
2024-01-03,Z0014,113954,109094,101970
2024-01-03,Z0004,111969,110366,103589
2024-01-03,Z0015,126668,123087,115563
2024-01-03,Z0106,129749,125165,122642
2024-01-03,Z0056,108777,104660,100067
2024-01-03,Z0102,116329,113493,109197
2024-01-03,Z0013,112574,110430,106169
2024-01-03,Z0010,100478,98399,92197
2024-01-03,Z0094,109262,108215,102571
2024-01-03,Z0044,94432,92383,85007
2024-01-03,Z0066,104178,101902,94091
2024-01-03,Z0097,90302,88664,86609
2024-01-03,Z0087,98717,97244,91121
2024-01-03,Z0071,98150,95025,89738
2024-01-03,Z0112,106748,103035,96414
2024-01-03,Z0038,105034,102699,95721
2024-01-03,Z0085,95126,93100,89454
2024-01-03,Z0035,107302,103505,95635
2024-01-03,Z0090,91531,87186,83280
2024-01-03,Z0063,125854,123639,115889
2024-01-03,Z0095,100267,98554,95492
2024-01-03,Z0027,119926,116793,114668
2024-01-03,Z0023,94632,91440,85844
2024-01-03,Z0022,96168,93565,91499
2024-01-03,Z0096,106616,103460,100291
2024-01-03,Z0036,116734,113459,107253
2024-01-03,Z0041,116069,112988,106270
2024-01-03,Z0081,97943,93503,89031
2024-01-03,Z0082,109123,106818,103057
2024-01-03,Z0079,100167,96805,93929
2024-01-03,Z0033,93812,89364,86052
2024-01-03,Z0020,117285,113961,110228
2024-01-03,Z0064,91605,89079,84516
2024-01-03,Z0099,101613,97723,92206
2024-01-03,Z0075,100589,97959,92224
2024-01-03,Z0042,117446,115286,108432
2024-01-03,Z0057,114818,111228,108165
2024-01-03,Z0055,94324,90729,87810
2024-01-03,Z0049,128110,127105,124638
2024-01-03,Z0072,104043,102969,100966
2024-01-04,Z0017,112350,110705,108588
2024-01-04,Z0050,108935,105914,98872
2024-01-04,Z0060,128328,127135,124289
2024-01-04,Z0076,100954,98539,90985
2024-01-04,Z0003,112700,108329,100565
2024-01-04,Z0109,96469,94036,90895
2024-01-04,Z0001,116386,114663,112439
2024-01-04,Z0011,126976,123789,117135
2024-01-04,Z0108,92048,88911,82162
2024-01-04,Z0043,91828,88911,82677
2024-01-04,Z0026,122254,117315,113289
2024-01-04,Z0093,110128,108227,101442
2024-01-04,Z0024,90009,88749,85076
2024-01-04,Z0019,92219,88274,84214
2024-01-04,Z0088,95287,90574,86955
2024-01-04,Z0077,98512,96170,88438
2024-01-04,Z0040,109216,105392,101398
2024-01-04,Z0107,117534,114591,110553
2024-01-04,Z0008,126258,121581,118463
2024-01-04,Z0009,107988,104623,98596
2024-01-04,Z0111,90235,87266,80837
2024-01-04,Z0103,91908,90533,85003
2024-01-04,Z0061,95256,91621,88051
2024-01-04,Z0028,95415,91024,86059
2024-01-04,Z0029,95951,93579,87729
2024-01-04,Z0037,120523,116678,113364
2024-01-04,Z0074,111204,106968,102070
2024-01-04,Z0051,113930,112853,108232
2024-01-04,Z0098,110611,109011,101143
2024-01-04,Z0073,107449,104313,99864
2024-01-04,Z0083,99510,97895,92298
2024-01-04,Z0053,129711,124949,116965
2024-01-04,Z0104,111526,109952,105762
2024-01-04,Z0045,99184,95472,91280
2024-01-04,Z0105,124016,119962,113364
2024-01-04,Z0089,108381,106561,100874
2024-01-04,Z0069,116727,112617,108647
2024-01-04,Z0002,117202,113764,110562
2024-01-04,Z0046,114519,110918,103351
2024-01-04,Z0034,105374,102728,94940
2024-01-04,Z0025,95408,92373,89896
2024-01-04,Z0100,99446,97524,95105
2024-01-04,Z0091,100789,96277,93157
2024-01-04,Z0006,122154,120204,115868
2024-01-04,Z0062,128141,124898,120253
2024-01-04,Z0092,122265,120749,112995
2024-01-04,Z0059,113710,111896,103900
2024-01-04,Z0110,96359,92364,87136
2024-01-04,Z0068,110103,105771,100543
2024-01-04,Z0101,104382,101011,96120
2024-01-04,Z0018,93756,92627,90533
2024-01-04,Z0070,125442,121640,117685
2024-01-04,Z0065,123561,120727,116611
2024-01-04,Z0058,95779,94769,89444
2024-01-04,Z0067,104153,100234,95637
2024-01-04,Z0048,102999,99929,97115
2024-01-04,Z0031,100541,99179,94736
2024-01-04,Z0086,100457,97269,92264
2024-01-04,Z0052,107368,103328,99689
2024-01-04,Z0030,123595,119865,114334
2024-01-04,Z0080,129915,128560,121117
2024-01-04,Z0084,128727,127601,122424
2024-01-04,Z0032,117632,116029,110580
2024-01-04,Z0078,110530,106430,100897
2024-01-04,Z0005,93368,88571,81045
2024-01-04,Z0007,124560,120699,112967
2024-01-04,Z0012,126244,121827,118182
2024-01-04,Z0021,109256,105184,101330
2024-01-04,Z0039,127430,124012,116981
2024-01-04,Z0054,92708,88206,84874
2024-01-04,Z0047,121880,120679,115172
2024-01-04,Z0016,129224,128108,121076
2024-01-04,Z0014,115150,111859,109323
2024-01-04,Z0004,124393,121271,118886
2024-01-04,Z0015,98070,93789,91315
2024-01-04,Z0106,126368,122681,115647
2024-01-04,Z0056,94971,93209,85911
2024-01-04,Z0102,91990,89787,82982
2024-01-04,Z0013,109956,107077,99797
2024-01-04,Z0010,127148,126086,118988
2024-01-04,Z0094,94757,91044,86841
2024-01-04,Z0044,106241,103749,98629
2024-01-04,Z0066,94944,92837,87405
2024-01-04,Z0097,127011,122310,119969
2024-01-04,Z0087,121195,119109,115385
2024-01-04,Z0071,110806,108014,104255
2024-01-04,Z0112,116838,113356,110405
2024-01-04,Z0038,117965,114886,110169
2024-01-04,Z0085,117952,116524,113024
2024-01-04,Z0035,114861,110646,105151
2024-01-04,Z0090,113570,110505,107737
2024-01-04,Z0063,128258,124012,118955
2024-01-04,Z0095,118865,115316,108233
2024-01-04,Z0027,128000,124839,119546
2024-01-04,Z0023,128565,126619,119693
2024-01-04,Z0022,102342,97400,90505
2024-01-04,Z0096,127641,125160,121259
2024-01-04,Z0036,106438,101891,98068
2024-01-04,Z0041,109846,105426,100347
2024-01-04,Z0081,100998,98140,93650
2024-01-04,Z0082,98519,94394,89084
2024-01-04,Z0079,93300,89674,83999
2024-01-04,Z0033,125822,123535,119392
2024-01-04,Z0020,111591,107442,104131
2024-01-04,Z0064,108922,103939,97392
2024-01-04,Z0099,111389,107607,104785
2024-01-04,Z0075,107327,104326,97901
2024-01-04,Z0042,106032,102834,97678
2024-01-04,Z0057,110079,105627,102713
2024-01-04,Z0055,103859,101551,95374
2024-01-04,Z0049,98705,95785,90191
2024-01-04,Z0072,127609,123539,120130
2024-01-05,Z0017,119378,117908,112718
2024-01-05,Z0050,104596,102792,95763
2024-01-05,Z0060,91279,88522,81522
2024-01-05,Z0076,97083,94193,86574
2024-01-05,Z0003,107771,105468,98780
2024-01-05,Z0109,109063,105957,99734
2024-01-05,Z0001,127599,123831,117878
2024-01-05,Z0011,125954,121674,117101
2024-01-05,Z0108,102808,99209,93176
2024-01-05,Z0043,124072,119642,111765
2024-01-05,Z0026,107685,103379,98838
2024-01-05,Z0093,101372,97715,91917
2024-01-05,Z0024,98996,97922,93747
2024-01-05,Z0019,116665,114286,112246
2024-01-05,Z0088,121653,118572,110776
2024-01-05,Z0077,121896,117851,110354
2024-01-05,Z0040,102875,100253,97912
2024-01-05,Z0107,105646,104001,97175
2024-01-05,Z0008,94263,92654,84786
2024-01-05,Z0009,98646,94693,90985
2024-01-05,Z0111,101664,97695,92667
2024-01-05,Z0103,114027,112326,107645
2024-01-05,Z0061,126397,123798,117573
2024-01-05,Z0028,125835,122990,119604
2024-01-05,Z0029,109250,107558,102195
2024-01-05,Z0037,111874,110081,103957
2024-01-05,Z0074,114063,110340,107204
2024-01-05,Z0051,114762,110908,107658
2024-01-05,Z0098,118769,117715,113004
2024-01-05,Z0073,94853,93448,86040
2024-01-05,Z0083,98942,94723,90961
2024-01-05,Z0053,121987,117425,111505
2024-01-05,Z0104,114058,112694,110213
2024-01-05,Z0045,122921,118400,114876
2024-01-05,Z0105,124888,121128,116785
2024-01-05,Z0089,127904,125240,122000
2024-01-05,Z0069,90060,88122,84483
2024-01-05,Z0002,103350,98476,92250
2024-01-05,Z0046,118145,115893,109690
2024-01-05,Z0034,99650,95101,88904
2024-01-05,Z0025,113393,109822,105500
2024-01-05,Z0100,116212,112097,106007
2024-01-05,Z0091,96960,92956,85820
2024-01-05,Z0006,126408,121514,113898
2024-01-05,Z0062,110491,108150,102487
2024-01-05,Z0092,114791,113453,105558
2024-01-05,Z0059,102254,98546,93394
2024-01-05,Z0110,91750,89242,84821
2024-01-05,Z0068,129887,128178,120859
2024-01-05,Z0101,105896,102383,95175
2024-01-05,Z0018,101918,97276,91283
2024-01-05,Z0070,115064,110116,102459
2024-01-05,Z0065,117935,116158,109023
2024-01-05,Z0058,94806,93406,87416
2024-01-05,Z0067,112297,108269,103112
2024-01-05,Z0048,118921,117531,111678
2024-01-05,Z0031,127198,125570,119338
2024-01-05,Z0086,101122,97387,93866
2024-01-05,Z0052,119398,116898,111604
2024-01-05,Z0030,115510,111468,104971
2024-01-05,Z0080,107850,103289,100675
2024-01-05,Z0084,111776,107179,103997
2024-01-05,Z0032,125435,122200,114983
2024-01-05,Z0078,106514,102662,95372
2024-01-05,Z0005,92983,88950,82672
2024-01-05,Z0007,113510,112147,110109
2024-01-05,Z0012,118535,114991,109404
2024-01-05,Z0021,105317,103397,98628
2024-01-05,Z0039,118687,117195,109650
2024-01-05,Z0054,99323,95382,89861
2024-01-05,Z0047,98502,96764,91523
2024-01-05,Z0016,90545,87084,80738
2024-01-05,Z0014,119430,116626,111414
2024-01-05,Z0004,119969,115482,107755
2024-01-05,Z0015,93810,90896,88083
2024-01-05,Z0106,106371,105343,98290
2024-01-05,Z0056,98436,96689,89897
2024-01-05,Z0102,123039,118528,114757
2024-01-05,Z0013,100616,99351,96431
2024-01-05,Z0010,114574,110144,103709
2024-01-05,Z0094,102676,99052,93292
2024-01-05,Z0044,92050,87550,84385
2024-01-05,Z0066,114951,110210,106177
2024-01-05,Z0097,122913,119932,113544
2024-01-05,Z0087,115280,111284,106652
2024-01-05,Z0071,94494,90630,87667
2024-01-05,Z0112,121883,118649,114608
2024-01-05,Z0038,91828,88720,82652
2024-01-05,Z0085,122123,120414,117608
2024-01-05,Z0035,119757,116889,110022
2024-01-05,Z0090,105934,103601,100717
2024-01-05,Z0063,126332,123943,118542
2024-01-05,Z0095,107320,103520,98967
2024-01-05,Z0027,104199,99354,95558
2024-01-05,Z0023,98245,94127,91401
2024-01-05,Z0022,101362,99319,95406
2024-01-05,Z0096,120448,117852,113938
2024-01-05,Z0036,97657,94191,89454
2024-01-05,Z0041,115425,112316,110314
2024-01-05,Z0081,118831,114021,107952
2024-01-05,Z0082,97287,95395,91365
2024-01-05,Z0079,127443,124510,121130
2024-01-05,Z0033,107674,105034,97987
2024-01-05,Z0020,113874,110192,107205
2024-01-05,Z0064,122284,117564,114346
2024-01-05,Z0099,127784,123999,120644
2024-01-05,Z0075,118841,117321,109739
2024-01-05,Z0042,105585,103602,100628
2024-01-05,Z0057,94133,90758,83388
2024-01-05,Z0055,93972,91773,84052
2024-01-05,Z0049,119125,118089,112702
2024-01-05,Z0072,99903,95883,93088
2024-01-06,Z0017,110420,108448,101760
2024-01-06,Z0050,128001,123890,120566
2024-01-06,Z0060,92396,89234,84489
2024-01-06,Z0076,91591,87480,79495
2024-01-06,Z0003,96183,91253,87257
2024-01-06,Z0109,124080,121795,115484
2024-01-06,Z0001,97314,93931,88692
2024-01-06,Z0011,92139,88739,85035
2024-01-06,Z0108,129692,128330,123726
2024-01-06,Z0043,122088,119372,112083
2024-01-06,Z0026,110670,105932,101463
2024-01-06,Z0093,112534,109354,106798
2024-01-06,Z0024,99017,95209,88059
2024-01-06,Z0019,102713,98248,93529
2024-01-06,Z0088,112890,108382,102641
2024-01-06,Z0077,126766,123637,119234
2024-01-06,Z0040,116588,114041,111747
2024-01-06,Z0107,100177,97930,90286
2024-01-06,Z0008,99882,97746,90394
2024-01-06,Z0009,124832,123473,116678
2024-01-06,Z0111,127311,123408,116638
2024-01-06,Z0103,91007,88658,84144
2024-01-06,Z0061,119257,117001,113754
2024-01-06,Z0028,103281,98379,94944
2024-01-06,Z0029,123339,119957,116712
2024-01-06,Z0037,116660,114672,112395
2024-01-06,Z0074,103507,99544,95657
2024-01-06,Z0051,97491,95761,92721
2024-01-06,Z0098,104859,102942,100057
2024-01-06,Z0073,110953,106762,102409
2024-01-06,Z0083,113821,112118,109432
2024-01-06,Z0053,114860,113145,107398
2024-01-06,Z0104,115338,113088,106045
2024-01-06,Z0045,125196,121689,114563
2024-01-06,Z0105,97813,93887,87888
2024-01-06,Z0089,117570,114064,107399
2024-01-06,Z0069,120678,116069,110516
2024-01-06,Z0002,116029,114292,108936
2024-01-06,Z0046,104288,100118,98080
2024-01-06,Z0034,93342,91456,86612
2024-01-06,Z0025,100396,98298,94475
2024-01-06,Z0100,103261,99106,94013
2024-01-06,Z0091,101722,99160,93382
2024-01-06,Z0006,118087,113412,110424
2024-01-06,Z0062,129214,127346,121320
2024-01-06,Z0092,124450,121474,113968
2024-01-06,Z0059,95626,91298,84633
2024-01-06,Z0110,109982,105749,101769
2024-01-06,Z0068,116431,112375,109583
2024-01-06,Z0101,107175,102580,98771
2024-01-06,Z0018,128158,124619,120364
2024-01-06,Z0070,109994,107387,100208
2024-01-06,Z0065,129341,127357,119581
2024-01-06,Z0058,126444,122064,119545
2024-01-06,Z0067,98782,96732,88927
2024-01-06,Z0048,110017,106982,100538
2024-01-06,Z0031,107343,104380,101688
2024-01-06,Z0086,95655,90756,84283
2024-01-06,Z0052,105251,100622,98096
2024-01-06,Z0030,93224,89443,85190
2024-01-06,Z0080,101536,96571,89216
2024-01-06,Z0084,124531,123011,115214
2024-01-06,Z0032,99208,95205,88096
2024-01-06,Z0078,125201,122834,120251
2024-01-06,Z0005,119759,114971,110203
2024-01-06,Z0007,126935,122075,119802
2024-01-06,Z0012,116589,114246,107813
2024-01-06,Z0021,107773,103207,96505
2024-01-06,Z0039,116143,113085,105665
2024-01-06,Z0054,110581,106085,98574
2024-01-06,Z0047,122981,118219,111012
2024-01-06,Z0016,99768,96320,91384
2024-01-06,Z0014,128559,124025,121434
2024-01-06,Z0004,119781,116642,111922
2024-01-06,Z0015,98905,96970,90633
2024-01-06,Z0106,96368,92520,84656
2024-01-06,Z0056,108333,104697,101780
2024-01-06,Z0102,105525,101607,99518
2024-01-06,Z0013,100361,99219,94178
2024-01-06,Z0010,90105,88219,85792
2024-01-06,Z0094,96090,94774,92140
2024-01-06,Z0044,91925,88869,83725
2024-01-06,Z0066,116015,114463,111748
2024-01-06,Z0097,126679,123966,115987
2024-01-06,Z0087,93389,91282,83845
2024-01-06,Z0071,114826,111396,107342
2024-01-06,Z0112,123226,121119,118912
2024-01-06,Z0038,90899,86438,81053
2024-01-06,Z0085,106405,104996,102102
2024-01-06,Z0035,123282,119084,112180
2024-01-06,Z0090,119545,118532,111466
2024-01-06,Z0063,105313,101252,97118
2024-01-06,Z0095,91560,89236,85970
2024-01-06,Z0027,116745,112527,106889
2024-01-06,Z0023,94780,91853,86049
2024-01-06,Z0022,92356,90662,86327
2024-01-06,Z0096,114363,109698,105709
2024-01-06,Z0036,129825,125031,122370
2024-01-06,Z0041,127412,122989,120678
2024-01-06,Z0081,92920,90838,85867
2024-01-06,Z0082,104025,102271,96141
2024-01-06,Z0079,129004,126022,118696
