Date,Zone_ID,Intake_Water_Liters,Treated_Water_Liters,Supplied_Water_Liters,Estimated_Usage_Liters,No_of_Connections,Avg_LPCD,Leakage_Liters,Leakage_Percent
2024-01-01,Z0104,129976,127796,123734,14083,173,81.41,109651,88.62
2024-01-01,Z0045,92568,90201,82953,20900,273,76.56,62053,74.81
2024-01-01,Z0105,92027,88332,84837,11466,164,69.92,73371,86.48
2024-01-01,Z0089,95258,92736,90345,28371,238,119.21,61974,68.6
2024-01-01,Z0069,103986,102568,96094,19834,237,83.69,76260,79.36
2024-01-01,Z0002,128660,124099,119821,17194,285,60.33,102627,85.65
2024-01-01,Z0046,128952,124853,122653,20715,288,71.93,101938,83.11
2024-01-01,Z0034,120535,118756,113652,29565,285,103.74,84087,73.99
2024-01-01,Z0025,113599,112097,107643,17537,182,96.36,90106,83.71
2024-01-01,Z0100,101837,99086,96282,21831,190,114.9,74451,77.33
2024-01-01,Z0091,120818,117087,109096,19220,221,86.97,89876,82.38
2024-01-01,Z0006,100965,98395,91339,11613,182,63.81,79726,87.29
2024-01-01,Z0062,122482,118822,111241,16776,211,79.51,94465,84.92
2024-01-01,Z0092,117266,112426,109398,23679,248,95.48,85719,78.36
2024-01-01,Z0059,123270,119456,112963,16252,184,88.33,96711,85.61
2024-01-01,Z0110,115446,111604,105116,29575,250,118.3,75541,71.86
2024-01-01,Z0068,90206,88168,80191,29582,280,105.65,50609,63.11
2024-01-01,Z0101,113419,110935,108072,26082,291,89.63,81990,75.87
2024-01-01,Z0018,112403,109646,105968,29355,286,102.64,76613,72.3
2024-01-01,Z0070,123827,120255,112976,14705,239,61.53,98271,86.98
2024-01-01,Z0065,106198,103476,98162,24115,212,113.75,74047,75.43
2024-01-01,Z0058,112299,108674,103945,18853,201,93.8,85092,81.86
2024-01-01,Z0067,92693,90898,83751,32160,281,114.45,51591,61.6
2024-01-01,Z0048,93627,91264,87283,30756,292,105.33,56527,64.76
2024-01-01,Z0031,111834,109171,105642,21565,185,116.57,84077,79.59
2024-01-01,Z0086,100230,95811,88219,17025,220,77.39,71194,80.7
2024-01-01,Z0052,113776,111368,103872,26515,235,112.83,77357,74.47
2024-01-01,Z0030,91306,87626,82951,15081,194,77.74,67870,81.82
2024-01-01,Z0080,99474,95044,92335,24731,283,87.39,67604,73.22
2024-01-01,Z0084,111959,109525,102781,18295,257,71.19,84486,82.2
2024-01-01,Z0032,93748,89452,82099,20227,179,113.0,61872,75.36
2024-01-01,Z0078,90663,87665,82220,30040,277,108.45,52180,63.46
2024-01-01,Z0005,120303,117808,112504,19612,241,81.38,92892,82.57
2024-01-01,Z0007,129353,127790,124499,20483,278,73.68,104016,83.55
2024-01-01,Z0012,113938,109754,106118,29451,270,109.08,76667,72.25
2024-01-01,Z0021,110080,106081,100929,9183,152,60.42,91746,90.9
2024-01-01,Z0039,116736,115735,108998,25479,286,89.09,83519,76.62
2024-01-01,Z0054,90854,88095,82621,15232,200,76.16,67389,81.56
2024-01-01,Z0047,111556,108849,104072,16513,208,79.39,87559,84.13
2024-01-01,Z0016,128559,125826,118291,22905,245,93.49,95386,80.64
2024-01-01,Z0014,94931,90421,88219,16739,262,63.89,71480,81.03
2024-01-01,Z0004,102688,100922,94533,15036,201,74.81,79497,84.09
2024-01-01,Z0015,92327,87419,82488,16888,188,89.83,65600,79.53
2024-01-01,Z0106,90197,86168,82238,18049,262,68.89,64189,78.05
2024-01-01,Z0056,105087,101896,99288,17482,230,76.01,81806,82.39
2024-01-01,Z0102,117848,115701,109419,13614,151,90.16,95805,87.56
2024-01-01,Z0013,105708,102914,100255,12581,203,61.98,87674,87.45
2024-01-01,Z0010,92811,88809,85440,20674,278,74.37,64766,75.8
2024-01-01,Z0094,124754,122220,120074,25628,279,91.86,94446,78.66
2024-01-01,Z0044,101411,97500,93766,14072,217,64.85,79694,84.99
2024-01-01,Z0066,108227,106739,101763,20272,272,74.53,81491,80.08
2024-01-01,Z0097,108343,105680,101295,15347,187,82.07,85948,84.85
2024-01-01,Z0087,101111,99471,95669,31537,265,119.01,64132,67.04
2024-01-01,Z0071,98155,94635,87101,31389,288,108.99,55712,63.96
2024-01-01,Z0112,110445,106076,98346,32265,293,110.12,66081,67.19
2024-01-01,Z0038,106646,103859,101236,24703,273,90.49,76533,75.6
2024-01-01,Z0085,106371,101728,94752,26983,242,111.5,67769,71.52
2024-01-01,Z0035,92049,88105,80682,30390,296,102.67,50292,62.33
2024-01-01,Z0090,110932,106824,99545,23952,296,80.92,75593,75.94
2024-01-01,Z0063,97158,94102,88932,23402,201,116.43,65530,73.69
2024-01-01,Z0095,105151,101896,98742,25226,277,91.07,73516,74.45
2024-01-01,Z0027,94499,91300,86109,17267,253,68.25,68842,79.95
2024-01-01,Z0023,102183,100556,93874,14416,191,75.48,79458,84.64
2024-01-01,Z0022,122711,120268,116823,31945,293,109.03,84878,72.66
2024-01-01,Z0096,92557,90061,87963,15810,209,75.65,72153,82.03
2024-01-01,Z0036,92200,89316,84355,18234,278,65.59,66121,78.38
2024-01-01,Z0041,111357,110020,104243,27021,289,93.5,77222,74.08
2024-01-01,Z0081,92869,88635,82844,12123,158,76.73,70721,85.37
2024-01-01,Z0082,118643,117483,109784,30653,296,103.56,79131,72.08
2024-01-01,Z0079,113328,111931,108631,31186,280,111.38,77445,71.29
2024-01-01,Z0033,111295,106308,102781,21678,203,106.79,81103,78.91
2024-01-01,Z0020,112399,109984,102730,17238,265,65.05,85492,83.22
2024-01-01,Z0064,123986,122586,115851,24386,253,96.39,91465,78.95
2024-01-01,Z0099,94555,92601,86036,17249,261,66.09,68787,79.95
2024-01-01,Z0075,109830,107785,104092,29368,248,118.42,74724,71.79
2024-01-01,Z0042,104373,101096,95660,20546,295,69.65,75114,78.52
2024-01-01,Z0057,98754,95269,87374,20591,231,89.14,66783,76.43
2024-01-01,Z0055,109738,106664,104439,16107,217,74.23,88332,84.58
2024-01-01,Z0049,122352,119021,116062,12024,170,70.73,104038,89.64
2024-01-01,Z0072,95600,94148,89081,28988,277,104.65,60093,67.46
2024-01-02,Z0017,99007,97349,90707,23073,294,78.48,67634,74.56
2024-01-02,Z0050,98208,93965,90722,25919,264,98.18,64803,71.43
2024-01-02,Z0060,108589,105065,101996,12763,171,74.64,89233,87.49
2024-01-02,Z0076,126212,122647,114783,22202,187,118.73,92581,80.66
2024-01-02,Z0003,123828,120501,115081,22704,200,113.52,92377,80.27
2024-01-02,Z0109,121216,119915,113639,15146,176,86.06,98493,86.67
2024-01-02,Z0001,90699,88707,85568,15327,170,90.16,70241,82.09
2024-01-02,Z0011,90190,86890,83910,17724,177,100.14,66186,78.88
2024-01-02,Z0108,125743,122737,119553,18889,210,89.95,100664,84.2
2024-01-02,Z0043,109778,108651,104586,9403,153,61.46,95183,91.01
2024-01-02,Z0026,124584,121826,119257,12398,198,62.62,106859,89.6
2024-01-02,Z0093,128210,125315,120582,22403,195,114.89,98179,81.42
2024-01-02,Z0024,126631,125006,118992,26005,248,104.86,92987,78.15
2024-01-02,Z0019,101093,98407,93398,21520,186,115.7,71878,76.96
2024-01-02,Z0088,106538,103001,99592,23010,195,118.0,76582,76.9
2024-01-02,Z0077,90784,86609,80268,29467,248,118.82,50801,63.29
2024-01-02,Z0040,129974,127474,119673,20582,265,77.67,99091,82.8
2024-01-02,Z0107,109190,107653,99667,15156,216,70.17,84511,84.79
2024-01-02,Z0008,119592,116137,113613,14560,174,83.68,99053,87.18
2024-01-02,Z0009,113355,110826,105876,20657,203,101.76,85219,80.49
2024-01-02,Z0111,114376,113341,106561,16247,253,64.22,90314,84.75
2024-01-02,Z0103,92368,87521,81026,25484,263,96.9,55542,68.55
2024-01-02,Z0061,100893,98922,95756,19157,235,81.52,76599,79.99
2024-01-02,Z0028,103403,98978,92049,25143,276,91.1,66906,72.69
2024-01-02,Z0029,100966,97984,95131,22138,279,79.35,72993,76.73
2024-01-02,Z0037,118312,113543,110969,25760,253,101.82,85209,76.79
2024-01-02,Z0074,112677,109316,105601,19685,192,102.53,85916,81.36
2024-01-02,Z0051,94777,92940,87086,14592,188,77.62,72494,83.24
2024-01-02,Z0098,119749,115699,111208,19006,175,108.61,92202,82.91
2024-01-02,Z0073,117236,113196,108072,10513,162,64.9,97559,90.27
2024-01-02,Z0083,93051,88360,86356,25585,284,90.09,60771,70.37
2024-01-02,Z0053,111606,109387,102518,16731,169,99.0,85787,83.68
2024-01-02,Z0104,90876,88885,82743,18473,293,63.05,64270,77.67
2024-01-02,Z0045,105202,101332,94968,21193,264,80.28,73775,77.68
2024-01-02,Z0105,127233,125598,118373,22829,241,94.73,95544,80.71
2024-01-02,Z0089,108077,105395,98643,17140,181,94.7,81503,82.62
2024-01-02,Z0069,98311,96481,88575,18727,235,79.69,69848,78.86
2024-01-02,Z0002,118251,116170,112801,25208,212,118.91,87593,77.65
2024-01-02,Z0046,115316,110771,108655,28539,299,95.45,80116,73.73
2024-01-02,Z0034,95949,92111,88961,17629,235,75.02,71332,80.18
2024-01-02,Z0025,113944,111013,108001,17125,219,78.2,90876,84.14
2024-01-02,Z0100,91081,89448,86936,22832,250,91.33,64104,73.74
2024-01-02,Z0091,97805,95664,93105,15410,202,76.29,77695,83.45
2024-01-02,Z0006,110056,108569,101577,25024,257,97.37,76553,75.36
2024-01-02,Z0062,93343,91131,85061,9780,155,63.1,75281,88.5
2024-01-02,Z0092,119375,116905,114325,22440,265,84.68,91885,80.37
2024-01-02,Z0059,98130,93983,87734,24366,248,98.25,63368,72.23
2024-01-02,Z0110,91679,87173,80081,13659,201,67.96,66422,82.94
2024-01-02,Z0068,97253,93509,88153,23927,263,90.98,64226,72.86
2024-01-02,Z0101,99435,97343,92225,31882,296,107.71,60343,65.43
2024-01-02,Z0018,103296,100155,92286,18234,212,86.01,74052,80.24
2024-01-02,Z0070,103245,99186,92638,13394,207,64.71,79244,85.54
2024-01-02,Z0065,119899,115940,111675,17250,266,64.85,94425,84.55
2024-01-02,Z0058,125247,121859,115213,28085,276,101.76,87128,75.62
2024-01-02,Z0067,116211,113899,110142,19571,278,70.4,90571,82.23
2024-01-02,Z0048,127220,124150,116269,12981,150,86.54,103288,88.84
2024-01-02,Z0031,113049,110268,105419,22772,245,92.95,82647,78.4
2024-01-02,Z0086,113289,108559,104070,13981,197,70.97,90089,86.57
2024-01-02,Z0052,99823,96007,92992,26147,266,98.3,66845,71.88
2024-01-02,Z0030,99540,98025,92938,21080,218,96.7,71858,77.32
2024-01-02,Z0080,128646,125341,118749,21141,225,93.96,97608,82.2
2024-01-02,Z0084,115471,112264,106718,14302,235,60.86,92416,86.6
2024-01-02,Z0032,90851,88164,84233,14311,218,65.65,69922,83.01
2024-01-02,Z0078,96833,92087,87660,27053,243,111.33,60607,69.14
2024-01-02,Z0005,116144,114188,109450,19299,293,65.87,90151,82.37
2024-01-02,Z0007,118074,115438,108051,20687,234,88.41,87364,80.85
2024-01-02,Z0012,122320,119880,112593,15994,182,87.88,96599,85.79
2024-01-02,Z0021,93913,91847,85467,20977,250,83.91,64490,75.46
2024-01-02,Z0039,110491,107861,102488,18595,159,116.95,83893,81.86
2024-01-02,Z0054,102161,97837,93291,15617,249,62.72,77674,83.26
2024-01-02,Z0047,124850,121076,116180,27996,287,97.55,88184,75.9
2024-01-02,Z0016,118761,116986,113361,27290,245,111.39,86071,75.93
2024-01-02,Z0014,101261,99844,97730,22026,218,101.04,75704,77.46
2024-01-02,Z0004,110358,106091,103266,10597,165,64.23,92669,89.74
2024-01-02,Z0015,114052,111403,107887,9300,151,61.59,98587,91.38
2024-01-02,Z0106,101338,99926,97198,27195,277,98.18,70003,72.02
2024-01-02,Z0056,113548,109740,107065,22025,233,94.53,85040,79.43
2024-01-02,Z0102,128756,125252,120285,18484,273,67.71,101801,84.63
2024-01-02,Z0013,107506,104935,97862,24390,250,97.56,73472,75.08
2024-01-02,Z0010,95104,91961,88274,25181,214,117.67,63093,71.47
2024-01-02,Z0094,113190,108929,102797,16145,223,72.4,86652,84.29
2024-01-02,Z0044,126208,121442,113798,11420,178,64.16,102378,89.96
2024-01-02,Z0066,92914,91042,83125,20164,244,82.64,62961,75.74
2024-01-02,Z0097,104397,102802,94803,14754,184,80.19,80049,84.44
2024-01-02,Z0087,90728,88363,81871,18914,239,79.14,62957,76.9
2024-01-02,Z0071,90698,86608,78877,19225,239,80.44,59652,75.63
2024-01-02,Z0112,106779,103287,97116,20304,264,76.91,76812,79.09
2024-01-02,Z0038,94360,90858,87039,21072,207,101.8,65967,75.79
2024-01-02,Z0085,107101,103319,96373,25233,224,112.65,71140,73.82
2024-01-02,Z0035,95486,94343,87363,20068,170,118.05,67295,77.03
2024-01-02,Z0090,127259,123163,118225,24512,287,85.41,93713,79.27
2024-01-02,Z0063,111972,107417,101781,21020,248,84.76,80761,79.35
2024-01-02,Z0095,91167,87551,84489,19710,245,80.45,64779,76.67
2024-01-02,Z0027,108540,103776,96615,13823,186,74.32,82792,85.69
2024-01-02,Z0023,111689,107707,102413,16911,162,104.39,85502,83.49
2024-01-02,Z0022,127497,125341,118007,16415,248,66.19,101592,86.09
2024-01-02,Z0096,98924,97690,90844,15281,166,92.06,75563,83.18
2024-01-02,Z0036,96731,92651,89698,25534,233,109.59,64164,71.53
2024-01-02,Z0041,125307,121347,116023,18297,235,77.86,97726,84.23
2024-01-02,Z0081,91542,89345,81573,14002,168,83.35,67571,82.84
2024-01-02,Z0082,129081,126665,121672,33960,289,117.51,87712,72.09
2024-01-02,Z0079,113322,109641,106424,19382,296,65.48,87042,81.79
2024-01-02,Z0033,107924,104848,99612,20709,177,117.0,78903,79.21
2024-01-02,Z0020,116962,112243,104628,24639,277,88.95,79989,76.45
2024-01-02,Z0064,116432,114067,111568,16900,260,65.0,94668,84.85
2024-01-02,Z0099,116256,114746,108434,16914,218,77.59,91520,84.4
2024-01-02,Z0075,91324,89169,85342,16220,174,93.22,69122,80.99
2024-01-02,Z0042,125909,121586,116100,21712,202,107.49,94388,81.3
2024-01-02,Z0057,124578,121086,116163,13762,206,66.81,102401,88.15
2024-01-02,Z0055,128069,124855,118669,22623,191,118.45,96046,80.94
2024-01-02,Z0049,115289,112408,106806,27054,291,92.97,79752,74.67
2024-01-02,Z0072,118710,114513,108991,29390,282,104.22,79601,73.03
2024-01-03,Z0017,110652,109000,102151,15012,224,67.02,87139,85.3
2024-01-03,Z0050,99435,94726,91645,22788,225,101.28,68857,75.13
2024-01-03,Z0060,120355,116832,114377,19424,294,66.07,94953,83.02
2024-01-03,Z0076,103116,101222,97838,13348,156,85.57,84490,86.36
2024-01-03,Z0003,129298,126302,120017,31262,286,109.31,88755,73.95
2024-01-03,Z0109,90504,88290,84759,18644,271,68.8,66115,78.0
2024-01-03,Z0001,118016,113536,110713,11586,178,65.09,99127,89.54
2024-01-03,Z0011,107312,105379,98143,22012,232,94.88,76131,77.57
2024-01-03,Z0108,92105,87478,80698,21217,258,82.24,59481,73.71
2024-01-03,Z0043,112700,109848,102938,34348,294,116.83,68590,66.63
2024-01-03,Z0026,110559,106626,101342,20408,194,105.2,80934,79.86
2024-01-03,Z0093,101003,98751,90956,22445,219,102.49,68511,75.32
2024-01-03,Z0024,115826,113144,105493,17913,168,106.63,87580,83.02
2024-01-03,Z0019,96190,93934,88558,17980,240,74.92,70578,79.7
2024-01-03,Z0088,128413,126247,120761,11200,168,66.67,109561,90.73
2024-01-03,Z0077,93330,89627,87157,24449,290,84.31,62708,71.95
2024-01-03,Z0040,114504,110486,103355,17429,275,63.38,85926,83.14
2024-01-03,Z0107,124121,120338,115507,22967,210,109.37,92540,80.12
2024-01-03,Z0008,111447,110090,105071,15129,150,100.86,89942,85.6
2024-01-03,Z0009,113959,112292,105824,28372,241,117.73,77452,73.19
2024-01-03,Z0111,119703,117558,110091,17022,262,64.97,93069,84.54
2024-01-03,Z0103,126487,122742,120203,31332,266,117.79,88871,73.93
2024-01-03,Z0061,117355,115487,109351,22903,193,118.67,86448,79.06
2024-01-03,Z0028,94835,90060,82740,16665,210,79.36,66075,79.86
2024-01-03,Z0029,103216,100180,95672,20990,229,91.66,74682,78.06
2024-01-03,Z0037,125547,121748,118824,34975,296,118.16,83849,70.57
2024-01-03,Z0074,117532,114951,109627,20641,295,69.97,88986,81.17
2024-01-03,Z0051,95713,91783,89528,20144,198,101.74,69384,77.5
2024-01-03,Z0098,94804,91966,88022,14647,150,97.65,73375,83.36
2024-01-03,Z0073,90009,86138,83341,22174,267,83.05,61167,73.39
2024-01-03,Z0083,113793,109471,102499,18920,161,117.52,83579,81.54
2024-01-03,Z0053,127892,123702,120687,18714,165,113.42,101973,84.49
2024-01-03,Z0104,117712,114519,112296,20386,266,76.64,91910,81.85
2024-01-03,Z0045,113833,112771,105435,23813,241,98.81,81622,77.41
2024-01-03,Z0105,110309,106435,99651,23142,285,81.2,76509,76.78
2024-01-03,Z0089,110384,107751,103599,11444,177,64.66,92155,88.95
2024-01-03,Z0069,98702,97318,94914,14363,190,75.6,80551,84.87
2024-01-03,Z0002,119189,117714,113714,22576,294,76.79,91138,80.15
2024-01-03,Z0046,122606,119938,111949,33251,290,114.66,78698,70.3
2024-01-03,Z0034,105106,102646,97010,33108,283,116.99,63902,65.87
2024-01-03,Z0025,100916,99203,93025,22569,196,115.15,70456,75.74
2024-01-03,Z0100,103456,99300,91303,18437,159,115.96,72866,79.81
2024-01-03,Z0091,124816,123766,116986,18031,258,69.89,98955,84.59
2024-01-03,Z0006,107100,102257,94692,19412,182,106.66,75280,79.5
2024-01-03,Z0062,94544,92664,86081,35175,295,119.24,50906,59.14
2024-01-03,Z0092,116657,112238,108664,15304,160,95.65,93360,85.92
2024-01-03,Z0059,104489,103240,100567,17718,212,83.58,82849,82.38
2024-01-03,Z0110,118538,114161,107798,22990,208,110.53,84808,78.67
2024-01-03,Z0068,98427,97039,92002,15365,247,62.21,76637,83.3
2024-01-03,Z0101,114285,112523,108675,16907,278,60.82,91768,84.44
2024-01-03,Z0018,112928,111305,106491,22823,204,111.88,83668,78.57
2024-01-03,Z0070,109758,105792,100514,25617,244,104.99,74897,74.51
2024-01-03,Z0065,91252,87352,81371,14186,152,93.33,67185,82.57
2024-01-03,Z0058,127441,124319,117789,23571,202,116.69,94218,79.99
2024-01-03,Z0067,105781,101006,94147,17362,232,74.84,76785,81.56
2024-01-03,Z0048,129649,125796,122467,16412,227,72.3,106055,86.6
2024-01-03,Z0031,98017,94172,90814,17586,150,117.24,73228,80.64
2024-01-03,Z0086,113386,109904,103362,11279,153,73.72,92083,89.09
2024-01-03,Z0052,100209,97878,91534,27620,262,105.42,63914,69.83
2024-01-03,Z0030,121703,119345,112230,14912,183,81.49,97318,86.71
2024-01-03,Z0080,94637,92879,87702,13553,221,61.33,74149,84.55
2024-01-03,Z0084,127660,123713,121576,29337,267,109.88,92239,75.87
2024-01-03,Z0032,109856,107503,102671,22114,199,111.13,80557,78.46
2024-01-03,Z0078,109963,107088,102057,23970,203,118.08,78087,76.51
2024-01-03,Z0005,126932,123339,115770,19652,206,95.4,96118,83.02
2024-01-03,Z0007,94300,91127,85309,16705,196,85.23,68604,80.42
2024-01-03,Z0012,102015,99109,96349,23016,234,98.36,73333,76.11
2024-01-03,Z0021,114214,109960,104515,16302,224,72.78,88213,84.4
2024-01-03,Z0039,112415,107824,104925,18043,187,96.49,86882,82.8
2024-01-03,Z0054,108271,104005,101339,19295,231,83.53,82044,80.96
2024-01-03,Z0047,94188,92517,88548,15710,240,65.46,72838,82.26
2024-01-03,Z0016,118732,115051,109929,18662,201,92.85,91267,83.02
2024-01-03,Z0014,113954,109094,101970,19104,228,83.79,82866,81.27
2024-01-03,Z0004,111969,110366,103589,28493,255,111.74,75096,72.49
2024-01-03,Z0015,126668,123087,115563,30396,282,107.79,85167,73.7
2024-01-03,Z0106,129749,125165,122642,33177,287,115.6,89465,72.95
2024-01-03,Z0056,108777,104660,100067,23669,223,106.14,76398,76.35
2024-01-03,Z0102,116329,113493,109197,20399,233,87.55,88798,81.32
2024-01-03,Z0013,112574,110430,106169,17796,183,97.25,88373,83.24
2024-01-03,Z0010,100478,98399,92197,26950,275,98.0,65247,70.77
2024-01-03,Z0094,109262,108215,102571,24351,264,92.24,78220,76.26
2024-01-03,Z0044,94432,92383,85007,15826,229,69.11,69181,81.38
2024-01-03,Z0066,104178,101902,94091,27196,267,101.86,66895,71.1
2024-01-03,Z0097,90302,88664,86609,19925,281,70.91,66684,76.99
2024-01-03,Z0087,98717,97244,91121,19802,174,113.81,71319,78.27
2024-01-03,Z0071,98150,95025,89738,28650,242,118.39,61088,68.07
2024-01-03,Z0112,106748,103035,96414,15023,210,71.54,81391,84.42
2024-01-03,Z0038,105034,102699,95721,32355,296,109.31,63366,66.2
2024-01-03,Z0085,95126,93100,89454,19487,241,80.86,69967,78.22
2024-01-03,Z0035,107302,103505,95635,11169,171,65.32,84466,88.32
2024-01-03,Z0090,91531,87186,83280,13810,150,92.07,69470,83.42
2024-01-03,Z0063,125854,123639,115889,11653,161,72.38,104236,89.94
2024-01-03,Z0095,100267,98554,95492,12392,183,67.72,83100,87.02
2024-01-03,Z0027,119926,116793,114668,15382,194,79.29,99286,86.59
2024-01-03,Z0023,94632,91440,85844,18893,175,107.96,66951,77.99
2024-01-03,Z0022,96168,93565,91499,27342,270,101.27,64157,70.12
2024-01-03,Z0096,106616,103460,100291,23044,205,112.41,77247,77.02
2024-01-03,Z0036,116734,113459,107253,17519,212,82.64,89734,83.67
2024-01-03,Z0041,116069,112988,106270,17620,230,76.61,88650,83.42
2024-01-03,Z0081,97943,93503,89031,9760,150,65.07,79271,89.04
2024-01-03,Z0082,109123,106818,103057,17625,248,71.07,85432,82.9
2024-01-03,Z0079,100167,96805,93929,16117,196,82.23,77812,82.84
2024-01-03,Z0033,93812,89364,86052,15827,163,97.1,70225,81.61
2024-01-03,Z0020,117285,113961,110228,19919,227,87.75,90309,81.93
2024-01-03,Z0064,91605,89079,84516,16444,258,63.74,68072,80.54
2024-01-03,Z0099,101613,97723,92206,13937,205,67.99,78269,84.88
2024-01-03,Z0075,100589,97959,92224,17283,152,113.71,74941,81.26
2024-01-03,Z0042,117446,115286,108432,23534,256,91.93,84898,78.3
2024-01-03,Z0057,114818,111228,108165,14502,167,86.84,93663,86.59
2024-01-03,Z0055,94324,90729,87810,19681,264,74.55,68129,77.59
2024-01-03,Z0049,128110,127105,124638,22147,268,82.64,102491,82.23
2024-01-03,Z0072,104043,102969,100966,14912,188,79.32,86054,85.23
2024-01-04,Z0017,112350,110705,108588,18717,235,79.65,89871,82.76
2024-01-04,Z0050,108935,105914,98872,14280,193,73.99,84592,85.56
2024-01-04,Z0060,128328,127135,124289,15490,162,95.62,108799,87.54
2024-01-04,Z0076,100954,98539,90985,17644,217,81.31,73341,80.61
2024-01-04,Z0003,112700,108329,100565,22902,258,88.77,77663,77.23
2024-01-04,Z0109,96469,94036,90895,27094,260,104.21,63801,70.19
2024-01-04,Z0001,116386,114663,112439,27229,260,104.73,85210,75.78
2024-01-04,Z0011,126976,123789,117135,24593,262,93.87,92542,79.0
2024-01-04,Z0108,92048,88911,82162,14712,191,77.03,67450,82.09
2024-01-04,Z0043,91828,88911,82677,17666,155,113.98,65011,78.63
2024-01-04,Z0026,122254,117315,113289,20075,213,94.25,93214,82.28
2024-01-04,Z0093,110128,108227,101442,24791,208,119.19,76651,75.56
2024-01-04,Z0024,90009,88749,85076,20042,270,74.23,65034,76.44
2024-01-04,Z0019,92219,88274,84214,21982,299,73.52,62232,73.9
2024-01-04,Z0088,95287,90574,86955,16372,219,74.76,70583,81.17
2024-01-04,Z0077,98512,96170,88438,16990,153,111.05,71448,80.79
2024-01-04,Z0040,109216,105392,101398,22861,211,108.35,78537,77.45
2024-01-04,Z0107,117534,114591,110553,22550,204,110.54,88003,79.6
2024-01-04,Z0008,126258,121581,118463,25611,280,91.47,92852,78.38
2024-01-04,Z0009,107988,104623,98596,19243,189,101.82,79353,80.48
2024-01-04,Z0111,90235,87266,80837,12999,155,83.87,67838,83.92
2024-01-04,Z0103,91908,90533,85003,25072,224,111.93,59931,70.5
2024-01-04,Z0061,95256,91621,88051,33535,283,118.5,54516,61.91
2024-01-04,Z0028,95415,91024,86059,17070,243,70.25,68989,80.16
2024-01-04,Z0029,95951,93579,87729,24425,211,115.76,63304,72.16
2024-01-04,Z0037,120523,116678,113364,20998,228,92.1,92366,81.48
2024-01-04,Z0074,111204,106968,102070,13440,175,76.8,88630,86.83
2024-01-04,Z0051,113930,112853,108232,13953,193,72.3,94279,87.11
2024-01-04,Z0098,110611,109011,101143,27410,267,102.66,73733,72.9
2024-01-04,Z0073,107449,104313,99864,12597,169,74.54,87267,87.39
2024-01-04,Z0083,99510,97895,92298,20076,196,102.43,72222,78.25
2024-01-04,Z0053,129711,124949,116965,22500,291,77.32,94465,80.76
2024-01-04,Z0104,111526,109952,105762,16808,186,90.37,88954,84.11
2024-01-04,Z0045,99184,95472,91280,19730,249,79.24,71550,78.39
2024-01-04,Z0105,124016,119962,113364,9592,152,63.11,103772,91.54
2024-01-04,Z0089,108381,106561,100874,14774,159,92.92,86100,85.35
2024-01-04,Z0069,116727,112617,108647,34267,287,119.4,74380,68.46
