Date,Zone_ID,Estimated_Usage_Liters,No_of_Connections,Avg_LPCD
2024-01-01,Z0047,16513,208,79.39
2024-01-01,Z0016,22905,245,93.49
2024-01-01,Z0014,16739,262,63.89
2024-01-01,Z0004,15036,201,74.81
2024-01-01,Z0015,16888,188,89.83
2024-01-01,Z0106,18049,262,68.89
2024-01-01,Z0056,17482,230,76.01
2024-01-01,Z0102,13614,151,90.16
2024-01-01,Z0013,12581,203,61.98
2024-01-01,Z0010,20674,278,74.37
2024-01-01,Z0094,25628,279,91.86
2024-01-01,Z0044,14072,217,64.85
2024-01-01,Z0066,20272,272,74.53
2024-01-01,Z0097,15347,187,82.07
2024-01-01,Z0087,31537,265,119.01
2024-01-01,Z0071,31389,288,108.99
2024-01-01,Z0112,32265,293,110.12
2024-01-01,Z0038,24703,273,90.49
2024-01-01,Z0085,26983,242,111.5
2024-01-01,Z0035,30390,296,102.67
2024-01-01,Z0090,23952,296,80.92
2024-01-01,Z0063,23402,201,116.43
2024-01-01,Z0095,25226,277,91.07
2024-01-01,Z0027,17267,253,68.25
2024-01-01,Z0023,14416,191,75.48
2024-01-01,Z0022,31945,293,109.03
2024-01-01,Z0096,15810,209,75.65
2024-01-01,Z0036,18234,278,65.59
2024-01-01,Z0041,27021,289,93.5
2024-01-01,Z0081,12123,158,76.73
2024-01-01,Z0082,30653,296,103.56
2024-01-01,Z0079,31186,280,111.38
2024-01-01,Z0033,21678,203,106.79
2024-01-01,Z0020,17238,265,65.05
2024-01-01,Z0064,24386,253,96.39
2024-01-01,Z0099,17249,261,66.09
2024-01-01,Z0075,29368,248,118.42
2024-01-01,Z0042,20546,295,69.65
2024-01-01,Z0057,20591,231,89.14
2024-01-01,Z0055,16107,217,74.23
2024-01-01,Z0049,12024,170,70.73
2024-01-01,Z0072,28988,277,104.65
2024-01-02,Z0017,23073,294,78.48
2024-01-02,Z0050,25919,264,98.18
2024-01-02,Z0060,12763,171,74.64
2024-01-02,Z0076,22202,187,118.73
2024-01-02,Z0003,22704,200,113.52
2024-01-02,Z0109,15146,176,86.06
2024-01-02,Z0001,15327,170,90.16
2024-01-02,Z0011,17724,177,100.14
2024-01-02,Z0108,18889,210,89.95
2024-01-02,Z0043,9403,153,61.46
2024-01-02,Z0026,12398,198,62.62
2024-01-02,Z0093,22403,195,114.89
2024-01-02,Z0024,26005,248,104.86
2024-01-02,Z0019,21520,186,115.7
2024-01-02,Z0088,23010,195,118.0
2024-01-02,Z0077,29467,248,118.82
2024-01-02,Z0040,20582,265,77.67
2024-01-02,Z0107,15156,216,70.17
2024-01-02,Z0008,14560,174,83.68
2024-01-02,Z0009,20657,203,101.76
2024-01-02,Z0111,16247,253,64.22
2024-01-02,Z0103,25484,263,96.9
2024-01-02,Z0061,19157,235,81.52
2024-01-02,Z0028,25143,276,91.1
2024-01-02,Z0029,22138,279,79.35
2024-01-02,Z0037,25760,253,101.82
2024-01-02,Z0074,19685,192,102.53
2024-01-02,Z0051,14592,188,77.62
2024-01-02,Z0098,19006,175,108.61
2024-01-02,Z0073,10513,162,64.9
2024-01-02,Z0083,25585,284,90.09
2024-01-02,Z0053,16731,169,99.0
2024-01-02,Z0104,18473,293,63.05
2024-01-02,Z0045,21193,264,80.28
2024-01-02,Z0105,22829,241,94.73
2024-01-02,Z0089,17140,181,94.7
2024-01-02,Z0069,18727,235,79.69
2024-01-02,Z0002,25208,212,118.91
2024-01-02,Z0046,28539,299,95.45
2024-01-02,Z0034,17629,235,75.02
2024-01-02,Z0025,17125,219,78.2
2024-01-02,Z0100,22832,250,91.33
2024-01-02,Z0091,15410,202,76.29
2024-01-02,Z0006,25024,257,97.37
2024-01-02,Z0062,9780,155,63.1
2024-01-02,Z0092,22440,265,84.68
2024-01-02,Z0059,24366,248,98.25
2024-01-02,Z0110,13659,201,67.96
2024-01-02,Z0068,23927,263,90.98
2024-01-02,Z0101,31882,296,107.71
2024-01-02,Z0018,18234,212,86.01
2024-01-02,Z0070,13394,207,64.71
2024-01-02,Z0065,17250,266,64.85
2024-01-02,Z0058,28085,276,101.76
2024-01-02,Z0067,19571,278,70.4
2024-01-02,Z0048,12981,150,86.54
2024-01-02,Z0031,22772,245,92.95
2024-01-02,Z0086,13981,197,70.97
2024-01-02,Z0052,26147,266,98.3
2024-01-02,Z0030,21080,218,96.7
2024-01-02,Z0080,21141,225,93.96
2024-01-02,Z0084,14302,235,60.86
2024-01-02,Z0032,14311,218,65.65
2024-01-02,Z0078,27053,243,111.33
2024-01-02,Z0005,19299,293,65.87
2024-01-02,Z0007,20687,234,88.41
2024-01-02,Z0012,15994,182,87.88
2024-01-02,Z0021,20977,250,83.91
2024-01-02,Z0039,18595,159,116.95
2024-01-02,Z0054,15617,249,62.72
2024-01-02,Z0047,27996,287,97.55
2024-01-02,Z0016,27290,245,111.39
2024-01-02,Z0014,22026,218,101.04
2024-01-02,Z0004,10597,165,64.23
2024-01-02,Z0015,9300,151,61.59
2024-01-02,Z0106,27195,277,98.18
2024-01-02,Z0056,22025,233,94.53
2024-01-02,Z0102,18484,273,67.71
2024-01-02,Z0013,24390,250,97.56
2024-01-02,Z0010,25181,214,117.67
2024-01-02,Z0094,16145,223,72.4
2024-01-02,Z0044,11420,178,64.16
2024-01-02,Z0066,20164,244,82.64
2024-01-02,Z0097,14754,184,80.19
2024-01-02,Z0087,18914,239,79.14
2024-01-02,Z0071,19225,239,80.44
2024-01-02,Z0112,20304,264,76.91
2024-01-02,Z0038,21072,207,101.8
2024-01-02,Z0085,25233,224,112.65
2024-01-02,Z0035,20068,170,118.05
2024-01-02,Z0090,24512,287,85.41
2024-01-02,Z0063,21020,248,84.76
2024-01-02,Z0095,19710,245,80.45
2024-01-02,Z0027,13823,186,74.32
2024-01-02,Z0023,16911,162,104.39
2024-01-02,Z0022,16415,248,66.19
2024-01-02,Z0096,15281,166,92.06
2024-01-02,Z0036,25534,233,109.59
2024-01-02,Z0041,18297,235,77.86
2024-01-02,Z0081,14002,168,83.35
2024-01-02,Z0082,33960,289,117.51
2024-01-02,Z0079,19382,296,65.48
2024-01-02,Z0033,20709,177,117.0
2024-01-02,Z0020,24639,277,88.95
2024-01-02,Z0064,16900,260,65.0
2024-01-02,Z0099,16914,218,77.59
2024-01-02,Z0075,16220,174,93.22
2024-01-02,Z0042,21712,202,107.49
2024-01-02,Z0057,13762,206,66.81
2024-01-02,Z0055,22623,191,118.45
2024-01-02,Z0049,27054,291,92.97
2024-01-02,Z0072,29390,282,104.22
2024-01-03,Z0017,15012,224,67.02
2024-01-03,Z0050,22788,225,101.28
2024-01-03,Z0060,19424,294,66.07
2024-01-03,Z0076,13348,156,85.57
2024-01-03,Z0003,31262,286,109.31
2024-01-03,Z0109,18644,271,68.8
2024-01-03,Z0001,11586,178,65.09
2024-01-03,Z0011,22012,232,94.88
2024-01-03,Z0108,21217,258,82.24
2024-01-03,Z0043,34348,294,116.83
2024-01-03,Z0026,20408,194,105.2
2024-01-03,Z0093,22445,219,102.49
2024-01-03,Z0024,17913,168,106.63
2024-01-03,Z0019,17980,240,74.92
2024-01-03,Z0088,11200,168,66.67
2024-01-03,Z0077,24449,290,84.31
2024-01-03,Z0040,17429,275,63.38
2024-01-03,Z0107,22967,210,109.37
2024-01-03,Z0008,15129,150,100.86
2024-01-03,Z0009,28372,241,117.73
2024-01-03,Z0111,17022,262,64.97
2024-01-03,Z0103,31332,266,117.79
2024-01-03,Z0061,22903,193,118.67
2024-01-03,Z0028,16665,210,79.36
2024-01-03,Z0029,20990,229,91.66
2024-01-03,Z0037,34975,296,118.16
2024-01-03,Z0074,20641,295,69.97
2024-01-03,Z0051,20144,198,101.74
2024-01-03,Z0098,14647,150,97.65
2024-01-03,Z0073,22174,267,83.05
2024-01-03,Z0083,18920,161,117.52
2024-01-03,Z0053,18714,165,113.42
2024-01-03,Z0104,20386,266,76.64
2024-01-03,Z0045,23813,241,98.81
2024-01-03,Z0105,23142,285,81.2
2024-01-03,Z0089,11444,177,64.66
2024-01-03,Z0069,14363,190,75.6
2024-01-03,Z0002,22576,294,76.79
2024-01-03,Z0046,33251,290,114.66
2024-01-03,Z0034,33108,283,116.99
2024-01-03,Z0025,22569,196,115.15
2024-01-03,Z0100,18437,159,115.96
2024-01-03,Z0091,18031,258,69.89
2024-01-03,Z0006,19412,182,106.66
2024-01-03,Z0062,35175,295,119.24
2024-01-03,Z0092,15304,160,95.65
2024-01-03,Z0059,17718,212,83.58
2024-01-03,Z0110,22990,208,110.53
2024-01-03,Z0068,15365,247,62.21
2024-01-03,Z0101,16907,278,60.82
2024-01-03,Z0018,22823,204,111.88
2024-01-03,Z0070,25617,244,104.99
2024-01-03,Z0065,14186,152,93.33
2024-01-03,Z0058,23571,202,116.69
2024-01-03,Z0067,17362,232,74.84
2024-01-03,Z0048,16412,227,72.3
2024-01-03,Z0031,17586,150,117.24
2024-01-03,Z0086,11279,153,73.72
2024-01-03,Z0052,27620,262,105.42
2024-01-03,Z0030,14912,183,81.49
2024-01-03,Z0080,13553,221,61.33
2024-01-03,Z0084,29337,267,109.88
2024-01-03,Z0032,22114,199,111.13
2024-01-03,Z0078,23970,203,118.08
2024-01-03,Z0005,19652,206,95.4
2024-01-03,Z0007,16705,196,85.23
2024-01-03,Z0012,23016,234,98.36
2024-01-03,Z0021,16302,224,72.78
2024-01-03,Z0039,18043,187,96.49
2024-01-03,Z0054,19295,231,83.53
2024-01-03,Z0047,15710,240,65.46
2024-01-03,Z0016,18662,201,92.85
2024-01-03,Z0014,19104,228,83.79
2024-01-03,Z0004,28493,255,111.74
2024-01-03,Z0015,30396,282,107.79
2024-01-03,Z0106,33177,287,115.6
2024-01-03,Z0056,23669,223,106.14
2024-01-03,Z0102,20399,233,87.55
2024-01-03,Z0013,17796,183,97.25
2024-01-03,Z0010,26950,275,98.0
2024-01-03,Z0094,24351,264,92.24
2024-01-03,Z0044,15826,229,69.11
2024-01-03,Z0066,27196,267,101.86
2024-01-03,Z0097,19925,281,70.91
2024-01-03,Z0087,19802,174,113.81
2024-01-03,Z0071,28650,242,118.39
2024-01-03,Z0112,15023,210,71.54
2024-01-03,Z0038,32355,296,109.31
2024-01-03,Z0085,19487,241,80.86
2024-01-03,Z0035,11169,171,65.32
2024-01-03,Z0090,13810,150,92.07
2024-01-03,Z0063,11653,161,72.38
2024-01-03,Z0095,12392,183,67.72
2024-01-03,Z0027,15382,194,79.29
2024-01-03,Z0023,18893,175,107.96
2024-01-03,Z0022,27342,270,101.27
2024-01-03,Z0096,23044,205,112.41
2024-01-03,Z0036,17519,212,82.64
2024-01-03,Z0041,17620,230,76.61
2024-01-03,Z0081,9760,150,65.07
2024-01-03,Z0082,17625,248,71.07
2024-01-03,Z0079,16117,196,82.23
2024-01-03,Z0033,15827,163,97.1
2024-01-03,Z0020,19919,227,87.75
2024-01-03,Z0064,16444,258,63.74
2024-01-03,Z0099,13937,205,67.99
2024-01-03,Z0075,17283,152,113.71
2024-01-03,Z0042,23534,256,91.93
2024-01-03,Z0057,14502,167,86.84
2024-01-03,Z0055,19681,264,74.55
2024-01-03,Z0049,22147,268,82.64
2024-01-03,Z0072,14912,188,79.32
2024-01-04,Z0017,18717,235,79.65
2024-01-04,Z0050,14280,193,73.99
2024-01-04,Z0060,15490,162,95.62
2024-01-04,Z0076,17644,217,81.31
2024-01-04,Z0003,22902,258,88.77
2024-01-04,Z0109,27094,260,104.21
2024-01-04,Z0001,27229,260,104.73
2024-01-04,Z0011,24593,262,93.87
2024-01-04,Z0108,14712,191,77.03
2024-01-04,Z0043,17666,155,113.98
2024-01-04,Z0026,20075,213,94.25
2024-01-04,Z0093,24791,208,119.19
2024-01-04,Z0024,20042,270,74.23
2024-01-04,Z0019,21982,299,73.52
2024-01-04,Z0088,16372,219,74.76
2024-01-04,Z0077,16990,153,111.05
2024-01-04,Z0040,22861,211,108.35
2024-01-04,Z0107,22550,204,110.54
2024-01-04,Z0008,25611,280,91.47
2024-01-04,Z0009,19243,189,101.82
2024-01-04,Z0111,12999,155,83.87
2024-01-04,Z0103,25072,224,111.93
2024-01-04,Z0061,33535,283,118.5
2024-01-04,Z0028,17070,243,70.25
2024-01-04,Z0029,24425,211,115.76
2024-01-04,Z0037,20998,228,92.1
2024-01-04,Z0074,13440,175,76.8
2024-01-04,Z0051,13953,193,72.3
2024-01-04,Z0098,27410,267,102.66
2024-01-04,Z0073,12597,169,74.54
2024-01-04,Z0083,20076,196,102.43
2024-01-04,Z0053,22500,291,77.32
2024-01-04,Z0104,16808,186,90.37
2024-01-04,Z0045,19730,249,79.24
2024-01-04,Z0105,9592,152,63.11
2024-01-04,Z0089,14774,159,92.92
2024-01-04,Z0069,34267,287,119.4
2024-01-04,Z0002,16373,162,101.07
2024-01-04,Z0046,17540,233,75.28
2024-01-04,Z0034,15040,250,60.16
2024-01-04,Z0025,15126,158,95.74
2024-01-04,Z0100,15840,187,84.71
2024-01-04,Z0091,16135,243,66.4
2024-01-04,Z0006,23945,218,109.84
2024-01-04,Z0062,26327,227,115.98
2024-01-04,Z0092,20677,286,72.3
2024-01-04,Z0059,21268,184,115.59
2024-01-04,Z0110,20122,213,94.47
2024-01-04,Z0068,22767,213,106.89
2024-01-04,Z0101,17235,160,107.72
2024-01-04,Z0018,17599,163,107.97
2024-01-04,Z0070,12854,184,69.86
2024-01-04,Z0065,11417,154,74.14
2024-01-04,Z0058,20743,227,91.38
2024-01-04,Z0067,22190,281,78.97
2024-01-04,Z0048,15958,191,83.55
2024-01-04,Z0031,16465,189,87.12
2024-01-04,Z0086,20902,253,82.62
2024-01-04,Z0052,21393,274,78.08
2024-01-04,Z0030,14847,172,86.32
2024-01-04,Z0080,33507,294,113.97
2024-01-04,Z0084,23106,202,114.39
2024-01-04,Z0032,12597,188,67.01
2024-01-04,Z0078,22631,283,79.97
2024-01-04,Z0005,13056,191,68.36
2024-01-04,Z0007,18486,164,112.72
2024-01-04,Z0012,16745,182,92.01
2024-01-04,Z0021,19661,187,105.14
2024-01-04,Z0039,11285,182,62.01
2024-01-04,Z0054,24167,235,102.84
2024-01-04,Z0047,17341,154,112.61
2024-01-04,Z0016,16277,246,66.17
2024-01-04,Z0014,19325,290,66.64
2024-01-04,Z0004,17453,258,67.65
2024-01-04,Z0015,17685,164,107.84
2024-01-04,Z0106,13733,154,89.18
2024-01-04,Z0056,22424,217,103.34
2024-01-04,Z0102,16943,279,60.73
2024-01-04,Z0013,26832,264,101.64
2024-01-04,Z0010,19049,185,102.97
2024-01-04,Z0094,14210,176,80.74
2024-01-04,Z0044,18806,160,117.54
2024-01-04,Z0066,24035,253,95.0
2024-01-04,Z0097,15087,172,87.72
2024-01-04,Z0087,18895,195,96.9
2024-01-04,Z0071,19821,290,68.35
2024-01-04,Z0112,26928,260,103.57
2024-01-04,Z0038,28667,249,115.13
2024-01-04,Z0085,32528,282,115.35
2024-01-04,Z0035,21896,221,99.08
2024-01-04,Z0090,19875,241,82.47
2024-01-04,Z0063,24438,286,85.45
2024-01-04,Z0095,11792,178,66.25
2024-01-04,Z0027,21950,190,115.53
2024-01-04,Z0023,10018,150,66.79
2024-01-04,Z0022,20839,298,69.93
2024-01-04,Z0096,16465,206,79.93
2024-01-04,Z0036,15022,204,73.64
2024-01-04,Z0041,24510,292,83.94
2024-01-04,Z0081,16182,202,80.11
2024-01-04,Z0082,12417,206,60.28
2024-01-04,Z0079,15435,184,83.89
2024-01-04,Z0033,19454,174,111.81
2024-01-04,Z0020,15105,187,80.78
2024-01-04,Z0064,20911,240,87.13
2024-01-04,Z0099,29493,257,114.76
2024-01-04,Z0075,15642,174,89.9
2024-01-04,Z0042,18649,237,78.69
2024-01-04,Z0057,16881,178,94.84
2024-01-04,Z0055,21889,299,73.21
2024-01-04,Z0049,26250,263,99.81
2024-01-04,Z0072,27061,230,117.66
2024-01-05,Z0017,25209,297,84.88
2024-01-05,Z0050,25399,212,119.81
2024-01-05,Z0060,15440,198,77.98
2024-01-05,Z0076,24313,290,83.84
2024-01-05,Z0003,29373,272,107.99
2024-01-05,Z0109,15257,211,72.31
2024-01-05,Z0001,17355,178,97.5
2024-01-05,Z0011,19724,179,110.19
2024-01-05,Z0108,10741,168,63.94
2024-01-05,Z0043,23344,227,102.84
2024-01-05,Z0026,22021,262,84.05
2024-01-05,Z0093,14030,212,66.18
2024-01-05,Z0024,17538,157,111.71
2024-01-05,Z0019,26507,252,105.19
2024-01-05,Z0088,12122,159,76.24
2024-01-05,Z0077,23721,259,91.59
2024-01-05,Z0040,28022,236,118.74
2024-01-05,Z0107,18635,181,102.96
2024-01-05,Z0008,20444,242,84.48
2024-01-05,Z0009,15103,206,73.32
2024-01-05,Z0111,14641,221,66.25
2024-01-05,Z0103,24462,216,113.25
2024-01-05,Z0061,17903,241,74.29
2024-01-05,Z0028,13724,184,74.59
2024-01-05,Z0029,21835,227,96.19
2024-01-05,Z0037,21412,195,109.81
2024-01-05,Z0074,22578,291,77.59
2024-01-05,Z0051,15286,156,97.99
2024-01-05,Z0098,14412,234,61.59
2024-01-05,Z0073,30849,274,112.59
2024-01-05,Z0083,15181,178,85.29
2024-01-05,Z0053,17310,151,114.64
2024-01-05,Z0104,23804,297,80.15
2024-01-05,Z0045,22816,279,81.78
2024-01-05,Z0105,20389,268,76.08
2024-01-05,Z0089,12429,154,80.71
2024-01-05,Z0069,24644,286,86.17
2024-01-05,Z0002,28993,248,116.91
2024-01-05,Z0046,25095,235,106.79
2024-01-05,Z0034,25785,230,112.11
2024-01-05,Z0025,32043,269,119.12
2024-01-05,Z0100,19647,277,70.93
2024-01-05,Z0091,16135,263,61.35
2024-01-05,Z0006,17033,163,104.5
2024-01-05,Z0062,13131,174,75.47
2024-01-05,Z0092,18827,171,110.1
2024-01-05,Z0059,10394,153,67.94
2024-01-05,Z0110,12513,178,70.3
2024-01-05,Z0068,11364,186,61.1
2024-01-05,Z0101,27075,295,91.78
2024-01-05,Z0018,18066,191,94.59
2024-01-05,Z0070,17064,183,93.25
2024-01-05,Z0065,27969,271,103.21
2024-01-05,Z0058,16135,266,60.66
2024-01-05,Z0067,20064,176,114.0
2024-01-05,Z0048,29412,283,103.93
2024-01-05,Z0031,23719,247,96.03
2024-01-05,Z0086,14245,202,70.52
2024-01-05,Z0052,25028,294,85.13
2024-01-05,Z0030,23121,271,85.32
2024-01-05,Z0080,19524,279,69.98
2024-01-05,Z0084,18191,256,71.06
2024-01-05,Z0032,19658,185,106.26
2024-01-05,Z0078,14838,178,83.36
2024-01-05,Z0005,16297,189,86.23
2024-01-05,Z0007,27061,262,103.29
2024-01-05,Z0012,17977,203,88.56
2024-01-05,Z0021,30485,260,117.25
2024-01-05,Z0039,31081,299,103.95
2024-01-05,Z0054,13866,182,76.19
2024-01-05,Z0047,20706,297,69.72
2024-01-05,Z0016,20649,230,89.78
2024-01-05,Z0014,17874,258,69.28
2024-01-05,Z0004,14321,222,64.51
2024-01-05,Z0015,14071,166,84.77
2024-01-05,Z0106,21273,210,101.3
2024-01-05,Z0056,16727,191,87.58
2024-01-05,Z0102,20083,184,109.15
2024-01-05,Z0013,26131,257,101.68
2024-01-05,Z0010,23947,251,95.41
2024-01-05,Z0094,13251,168,78.88
2024-01-05,Z0044,13505,198,68.21
2024-01-05,Z0066,22618,223,101.43
2024-01-05,Z0097,12779,196,65.2
2024-01-05,Z0087,25735,229,112.38
2024-01-05,Z0071,15439,157,98.34
2024-01-05,Z0112,22891,230,99.53
2024-01-05,Z0038,26227,267,98.23
2024-01-05,Z0085,19870,174,114.2
2024-01-05,Z0035,11796,161,73.27
2024-01-05,Z0090,25851,258,100.2
2024-01-05,Z0063,18521,181,102.33
2024-01-05,Z0095,20824,294,70.83
2024-01-05,Z0027,27008,235,114.93
2024-01-05,Z0023,10958,163,67.23
2024-01-05,Z0022,12143,156,77.84
2024-01-05,Z0096,26135,221,118.26
2024-01-05,Z0036,24185,231,104.7
2024-01-05,Z0041,29327,265,110.67
2024-01-05,Z0081,26948,295,91.35
2024-01-05,Z0082,15679,252,62.22
2024-01-05,Z0079,17278,257,67.23
2024-01-05,Z0033,27935,247,113.1
2024-01-05,Z0020,24247,257,94.35
2024-01-05,Z0064,24847,269,92.37
2024-01-05,Z0099,24127,242,99.7
2024-01-05,Z0075,28289,290,97.55
2024-01-05,Z0042,14125,165,85.61
2024-01-05,Z0057,19012,257,73.98
2024-01-05,Z0055,17894,204,87.72
2024-01-05,Z0049,11214,183,61.28
2024-01-05,Z0072,14861,162,91.74
2024-01-06,Z0017,26442,245,107.93
2024-01-06,Z0050,11387,188,60.57
2024-01-06,Z0060,18873,178,106.03
2024-01-06,Z0076,18734,211,88.79
2024-01-06,Z0003,18549,165,112.42
2024-01-06,Z0109,28647,270,106.1
2024-01-06,Z0001,23020,252,91.35
2024-01-06,Z0011,15906,214,74.33
2024-01-06,Z0108,13382,152,88.04
2024-01-06,Z0043,20774,269,77.23
2024-01-06,Z0026,22335,217,102.93
2024-01-06,Z0093,11630,186,62.53
2024-01-06,Z0024,14778,222,66.57
2024-01-06,Z0019,27210,270,100.78
2024-01-06,Z0088,33922,289,117.38
2024-01-06,Z0077,19935,186,107.18
2024-01-06,Z0040,23218,273,85.05
2024-01-06,Z0107,24736,212,116.68
2024-01-06,Z0008,18275,160,114.22
2024-01-06,Z0009,12843,201,63.9
2024-01-06,Z0111,25759,221,116.56
2024-01-06,Z0103,15651,212,73.83
2024-01-06,Z0061,19124,259,73.84
2024-01-06,Z0028,15085,206,73.23
2024-01-06,Z0029,16654,152,109.57
2024-01-06,Z0037,9774,154,63.47
2024-01-06,Z0074,14304,196,72.98
2024-01-06,Z0051,18275,158,115.67
2024-01-06,Z0098,24796,271,91.5
2024-01-06,Z0073,22785,272,83.77
2024-01-06,Z0083,23506,231,101.76
2024-01-06,Z0053,16560,152,108.95
2024-01-06,Z0104,11895,162,73.43
2024-01-06,Z0045,22748,238,95.58
2024-01-06,Z0105,32478,291,111.61
2024-01-06,Z0089,18024,160,112.65
2024-01-06,Z0069,16498,216,76.38
2024-01-06,Z0002,20170,178,113.32
2024-01-06,Z0046,13979,225,62.13
2024-01-06,Z0034,21905,189,115.9
2024-01-06,Z0025,18783,288,65.22
2024-01-06,Z0100,22484,273,82.36
2024-01-06,Z0091,22484,221,101.74
2024-01-06,Z0006,21978,239,91.96
2024-01-06,Z0062,13617,186,73.21
2024-01-06,Z0092,11428,177,64.57
2024-01-06,Z0059,14648,230,63.69
2024-01-06,Z0110,17234,194,88.84
2024-01-06,Z0068,27682,242,114.39
2024-01-06,Z0101,17467,216,80.87
2024-01-06,Z0018,22879,247,92.63
2024-01-06,Z0070,20515,182,112.72
2024-01-06,Z0065,33178,296,112.09
2024-01-06,Z0058,26758,241,111.03
2024-01-06,Z0067,14480,208,69.62
2024-01-06,Z0048,17855,162,110.22
2024-01-06,Z0031,27562,238,115.81
2024-01-06,Z0086,24182,249,97.12
2024-01-06,Z0052,17612,156,112.9
2024-01-06,Z0030,21788,194,112.31
2024-01-06,Z0080,19719,180,109.55
2024-01-06,Z0084,31340,287,109.2
2024-01-06,Z0032,13094,188,69.65
2024-01-06,Z0078,23249,249,93.37
2024-01-06,Z0005,20441,226,90.45
2024-01-06,Z0007,13458,188,71.59
2024-01-06,Z0012,15717,162,97.02
2024-01-06,Z0021,24520,262,93.59
2024-01-06,Z0039,19124,253,75.59
2024-01-06,Z0054,25861,237,109.12
2024-01-06,Z0047,16863,219,77.0
2024-01-06,Z0016,19162,223,85.93
2024-01-06,Z0014,17708,212,83.53
2024-01-06,Z0004,26429,228,115.92
2024-01-06,Z0015,19875,171,116.23
2024-01-06,Z0106,26031,245,106.25
2024-01-06,Z0056,16939,217,78.06
2024-01-06,Z0102,17639,166,106.26
2024-01-06,Z0013,27909,294,94.93
2024-01-06,Z0010,16629,171,97.25
2024-01-06,Z0094,23762,199,119.41
2024-01-06,Z0044,15443,178,86.76
2024-01-06,Z0066,22747,274,83.02
2024-01-06,Z0097,10916,178,61.33
2024-01-06,Z0087,23293,283,82.31
2024-01-06,Z0071,12432,207,60.06
2024-01-06,Z0112,20765,178,116.66
2024-01-06,Z0038,21595,248,87.08
2024-01-06,Z0085,17224,188,91.62
2024-01-06,Z0035,18088,178,101.62
2024-01-06,Z0090,29256,265,110.4
2024-01-06,Z0063,23129,233,99.27
2024-01-06,Z0095,19726,176,112.08
2024-01-06,Z0027,18991,275,69.06
2024-01-06,Z0023,25035,241,103.88
2024-01-06,Z0022,16695,196,85.18
2024-01-06,Z0096,19539,233,83.86
2024-01-06,Z0036,22041,280,78.72
2024-01-06,Z0041,23525,207,113.65
2024-01-06,Z0081,17179,164,104.75
2024-01-06,Z0082,23875,213,112.09
2024-01-06,Z0079,14205,173,82.11
